case_id,case_text_value_type,case_text,case_source,case_type,case_transaction_type,case_status,case_priority_level,date_time_created,date_time_closed,customer_tier,RecordingId,SpeakerId,SegmentDuration,Domain,SampleRate,BitDepth,Role,IsNative,Age,Gender,Country,Accent,MainAudioFile,AudioFile
328669,Single message,[filler/] Masyado kasing maraming pera ang na-donate noong [eng_start/] charity run [eng_end/] itatanong ko lang sana kung maaari ko bang ilagay yun sa [eng_start/] bank account [eng_end/] nang walang anumang problema,Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:10:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:11.604,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328669.wav
328670,Single message,"[filler/] Maitanong ko lang ho ba [filler/] bahagi po ba ito ng [eng_start/] foundation charity [eng_end/] [filler/] naging bahagi rin po ba ito ng [eng_start/] ""Chamber of Commerce Foundation"" [eng_end/] naku mabuti naman po [filler/] maitanong ko lang din ho magkano po ba yung perang nalikom niyo",Phone,Deposits,Inquiry,Assigned,Low,2024-01-26T08:11:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,E1EBF390-D319-46CE-96D2-1CEBC0F7396C,00:00:17.936,banking,8000,16,agent,True,33,Female,Philippines,National Capital Region (Metro Manila),Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328670.wav
328671,Single message,"Oo naging bahagi din siya ng [eng_start/] ""Chamber of Commerce"" [eng_end/]",Phone,Deposits,Inquiry,New,Low,2024-01-26T08:12:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:3.034,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328671.wav
328672,Single message,Ang nalikom naming pera ay [eng_start/] one hundred fifty thousand pesos [eng_end/],Phone,Deposits,Inquiry,New,Low,2024-01-26T08:13:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:4.992,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328672.wav
328673,Single message,[filler/] Medyo may kalakihan rin po pala ang nalikom niyong pera 'no mukhang maging naging maganda po ang takbo ng [eng_start/] charity run [eng_end/] na naisagawa niyo sige ho [eng_start/] hello [eng_end/] [filler/] gaya nga po ng sinabi ko kanina na napakaganda po pala ng nagawa niyong [eng_start/] charity run [eng_end/] sa [filler/] mga nakaraang [filler/] linggo [filler/] at [filler/] dahil medyo po ka- may kalakihan ang nalikom niyong pera,Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:14:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,E1EBF390-D319-46CE-96D2-1CEBC0F7396C,00:00:25.687,banking,8000,16,agent,True,33,Female,Philippines,National Capital Region (Metro Manila),Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328673.wav
328674,Single message,[filler/] Oo yung [eng_start/] charity [eng_end/] kasi na yun para sa mga batang may [eng_start/] cancer [eng_end/],Phone,Credit Cards,Inquiry,Assigned,High,2024-01-26T08:15:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:4.111,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328674.wav
328675,Single message,[filler/] Napakaganda rin po pala ng hangarin niyo dahil nakakatulong po pala kayo sa mga batang may kapansanan,Phone,Deposits,Complaint,New,High,2024-01-26T08:16:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,E1EBF390-D319-46CE-96D2-1CEBC0F7396C,00:00:6.748,banking,8000,16,agent,True,33,Female,Philippines,National Capital Region (Metro Manila),Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328675.wav
328676,Single message,Itatanong ko lang kailangan ko bang magbayad ng buwis,Phone,Deposits,Inquiry,Closed,Low,2024-01-26T08:17:00+08:00,,Mid,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:3.222,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328676.wav
328677,Single message,[filler/] Naku hindi na po dahil [filler/] isa nga po itong bahagi ng [eng_start/] foundation [eng_end/] kaya hindi niyo na po kailangan magbayad ng buwis Naku walang anuman ho [filler/] Bukod po ba dito meron pa po ba kayong kailangan [filler/] [filler/] maitanong o kailangan ng karagdagang tulong,Phone,Deposits,Inquiry,New,High,2024-01-26T08:18:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,E1EBF390-D319-46CE-96D2-1CEBC0F7396C,00:00:18.354,banking,8000,16,agent,True,33,Female,Philippines,National Capital Region (Metro Manila),Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328677.wav
328678,Single message,[filler/] Mabuti naman Salamat sa impormasyon,Phone,Deposits,Inquiry,New,High,2024-01-26T08:19:00+08:00,2024-01-26T08:20:00+08:00,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:2.705,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328678.wav
328679,Single message,[filler/] Kailangan ko lang ng tulong sa paghahanap ng pinakamalapit na [eng_start/] branch [eng_end/],Phone,Deposits,Inquiry,New,Medium,2024-01-26T08:21:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:4.135,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328679.wav
328680,Single message,"[filler/] Sige ho maaari nyo po bang ibigay sa akin ang bayan o lungsod kung nasaan kayo naroroon ngayon maraming salamat ho batay po dito sa aming talaan ang pinakamalapit na [eng_start/] branch [eng_end/] po dyan sa ""Mandaluyong [eng_start/] City"" [eng_end/] ay dyan po sa dyan po pala sa ""Maria Clara [eng_start/] Street [eng_end/] [filler/] Sampaloc Mandaluyong [eng_start/] City"" [eng_end/] [filler/] gusto ko lang din pong ipaalam sa inyo na sa mga oras pong ngayon ay magsasara na po ang [eng_start/] branch [eng_end/]",Phone,Loans,Inquiry,Assigned,Low,2024-01-26T08:22:00+08:00,,Low,12a95507-8727-497f-a599-a65d12c3ba42,E1EBF390-D319-46CE-96D2-1CEBC0F7396C,00:00:28.247,banking,8000,16,agent,True,33,Female,Philippines,National Capital Region (Metro Manila),Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328680.wav
328681,Single message,[filler/] Walang problema salamat paalam,Phone,Deposits,Complaint,New,High,2024-01-26T08:23:00+08:00,2024-01-26T08:24:00+08:00,Low,12a95507-8727-497f-a599-a65d12c3ba42,6106C194-2F98-4C04-B0DC-666E2B3D10B9,00:00:2.658,banking,8000,16,customer,True,28,Female,Philippines,Cavite,Audio/12a95507-8727-497f-a599-a65d12c3ba42.wav,sliced_audio/banking_328681.wav
339581,Single message,"Magandang araw maraming salamat sa pagtawag sa ""Bangko ng Bayan"" Ano ang maitutulong ko sa'yo",Phone,Loans,Inquiry,New,Medium,2024-01-26T08:25:00+08:00,,Mid,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:5.191,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339581.wav
339582,Single message,[filler/] Magandang umaga po [filler/] itatanong ko lang po sana tungkol sa pagpapadala ng mga pondo gamit po yung [eng_start/] mobile app [eng_end/] ng bangko,Phone,Deposits,Inquiry,New,Medium,2024-01-26T08:26:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:7.643,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339582.wav
339583,Single message,[filler/] [eng_start/] Okay [eng_end/] [filler/] Huwag po kayo mag-alala matutulungan po namin kayo tungkol sa bagay na iyan Ano po ba ang gusto niyong malaman [eng_start/] ma'am [eng_end/],Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:27:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:7.271,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339583.wav
339584,Single message,Opo kasi [filler/] hindi po kasi [eng_start/] available [eng_end/] yung [filler/] [eng_start/] function [eng_end/] na iyon dito sa [eng_start/] account [eng_end/] ko,Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:28:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:6.454,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339584.wav
339585,Single message,"[filler/] [eng_start/] Okay [eng_end/] [filler/] titignan po natin yan sa [eng_start/] system [eng_end/] at habang ginagawa ko po iyon Maaari ko pa bang hingin ang inyong buong pangalan [n_s/] [eng_start/] okay [eng_end/] maraming salamat at [filler/] nais ko rin pong hingiin ang numero ng [eng_start/] ""National Insurance"" [eng_end/]",Phone,Deposits,Request,Assigned,Medium,2024-01-26T08:29:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:14.748,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339585.wav
339586,Single message,[filler/] [eng_start/] Yes [eng_end/] po [eng_start/] five five two four four three [eng_end/],Phone,Deposits,Request,New,Low,2024-01-26T08:30:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:3.261,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339586.wav
339587,Single message,[eng_start/] Okay [eng_end/] at [filler/] ang petsa po ng inyong kapanganakan [eng_start/] ma'am Okay [eng_end/] Ngayon [eng_start/] ma'am [eng_end/] [filler/] ipinapakita po ng [eng_start/] system [eng_end/] na dapat ay [eng_start/] available [eng_end/] ang [eng_start/] function [eng_end/] sa inyong [eng_start/] account [eng_end/] Pwede ko po bang malaman kung saan niyo po sinusubukang hanapin ang [eng_start/] function [eng_end/] na ito [n_s/],Phone,Deposits,Request,Assigned,Low,2024-01-26T08:31:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:19.732,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339587.wav
339588,Single message,"[eng_start/] ""February"" seven nineteen ninety-one [eng_end/] po",Phone,Deposits,Inquiry,New,Low,2024-01-26T08:32:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:2.423,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339588.wav
339589,Single message,Opo [filler/] Nag-log in po kasi ako ngayon dito sa [eng_start/] account [eng_end/] ko sa [eng_start/] computer [eng_end/] [filler/] Nakatingin po ako sa [eng_start/] account [eng_end/] ko ngayon [eng_start/] online [eng_end/],Phone,Deposits,Request,Assigned,High,2024-01-26T08:33:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:8.421,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339589.wav
339590,Single message,[filler/] [eng_start/] Okay ma'am [eng_end/] [filler/] ganito po kasi yan [filler/] pong yan po ay isang [eng_start/] mobile app function [eng_end/] at [filler/] magagamit lamang nyo po ito sa inyo pong telepono,Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:34:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:9.581,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339590.wav
339591,Single message,[filler/] [eng_start/] Okay [eng_end/] [filler/] pa- paano po ba 'tong [eng_start/] app [eng_end/] na ito,Phone,Deposits,Inquiry,New,High,2024-01-26T08:35:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:4.303,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339591.wav
339592,Single message,"[eng_start/] Okay [eng_end/] [filler/] ang [eng_start/] app [eng_end/] po na yan ay inaalok [filler/] para po sa maka-access kayo sa [eng_start/] site [eng_end/] para po sa karagdagang benepisyo maging kumbinyente po sa inyo ngayon pwede niyo po itong i-download mula sa kahit anong [eng_start/] ""App Store"" [eng_end/]",Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:36:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:15.511,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339592.wav
339593,Single message,[filler/] Sige sige at [eng_start/] sir [eng_end/] Itatanong ko lang po kung [filler/] anong mga detalye po ba ng [eng_start/] account [eng_end/] ang kailanganin ko,Phone,Deposits,Inquiry,Assigned,Low,2024-01-26T08:37:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:6.415,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339593.wav
339594,Single message,[eng_start/] Okay [eng_end/] ang detalye po na maaari niyong gamitin ay parehas na detalye lang po sa pag [eng_start/] log-in [eng_end/] ninyo gamit po yung inyong [eng_start/] computer [eng_end/] [n_s/],Phone,Deposits,Request,Assigned,Low,2024-01-26T08:38:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:8.184,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339594.wav
339595,Single message,[filler/] [eng_start/] Okay [eng_end/] sige po at [filler/] [eng_start/] safe [eng_end/] po ba kayang gamitin tong [eng_start/] app [eng_end/] na ito,Phone,Deposits,Inquiry,Assigned,High,2024-01-26T08:39:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:4.146,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339595.wav
339596,Single message,[filler/] Opo [filler/] Napakaligtas po ito at [filler/] mapagkakatiwalaan niyo po ang [eng_start/] app [eng_end/] nito [filler/] Marami po itong karagdagang seguridad para po sa inyong [eng_start/] account [eng_end/],Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:40:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:10.837,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339596.wav
339597,Single message,[filler/] [filler/] Sige sige po at [filler/] paano po pala kaya yung proseso ng pagpapadala ng mga [filler/] pagbabayad sa [eng_start/] app [eng_end/],Phone,Deposits,Inquiry,New,Low,2024-01-26T08:41:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:6.887,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339597.wav
339598,Single message,"[filler/] Napakadali lang po [filler/] kailangan niyo lang po na magkaroon ng [eng_start/] ""WhatsApp"" [eng_end/] at mula doon po sa [eng_start/] application [eng_end/] na iyon pwede nyo na pong padaanin ang pagbabayad",Phone,Deposits,Request,Assigned,High,2024-01-26T08:42:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:11.071,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339598.wav
339599,Single message,"[filler/] [filler/] Kaso hindi po kasi ako gumagamit ng ""WhatsApp""",Phone,Deposits,Complaint,New,High,2024-01-26T08:43:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:3.657,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339599.wav
339600,Single message,[filler/] Naintindihan ko [filler/] Pwede na- ra- min- po tayong pumili sa iba't ibang [filler/] klase ng [eng_start/] media [eng_end/] Pwede rin po na gumamit tayo ng [eng_start/] email [eng_end/],Phone,Deposits,Inquiry,Assigned,Low,2024-01-26T08:44:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:8.051,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339600.wav
339601,Single message,[filler/] Sige sige po [filler/] naiintindihan ko na siya ngayon at [filler/] Sige ida-download ko po yung [eng_start/] app [eng_end/] na 'yon,Phone,Deposits,Complaint,Assigned,High,2024-01-26T08:45:00+08:00,,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:5.878,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339601.wav
339602,Single message,[filler/] [eng_start/] okay [eng_end/] [filler/] puwede po kayo ulit tumawag sa aming [filler/] [filler/] himpilan kung nagkakaron po kayo ng karagdagang problema,Phone,Deposits,Complaint,New,High,2024-01-26T08:46:00+08:00,2024-01-26T08:47:00+08:00,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:7.322,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339602.wav
339603,Single message,[filler/] Sige po maraming salamat po sa tulong ninyo at ng oras [n_s/],Phone,Deposits,Request,New,High,2024-01-26T08:48:00+08:00,2024-01-26T08:49:00+08:00,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:3.204,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339603.wav
339604,Single message,[eng_start/] Okay [eng_end/] Maraming salamat din po [eng_start/] ma'am [eng_end/] sa pagtawag May iba pa po ba akong maitutulong sa inyo [eng_start/] Okay [eng_end/] [filler/] Maraming salamat [eng_start/] ma'am [eng_end/] ulit sa pagtawag sa bangko ng bayan Iniimbitahan ko po kayong sumali sa [eng_start/] satisfaction survey [eng_end/] tungkol sa inyong kasiyahan pagkatapos po ng tawag,Phone,Deposits,Inquiry,Assigned,Medium,2024-01-26T08:50:00+08:00,2024-01-26T08:51:00+08:00,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,AAF38662-6FDA-48EB-A673-F5F7A50C48DB,00:00:18.642,banking,8000,16,agent,True,42,Female,Philippines,Cavite,Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339604.wav
339605,Single message,Sige sige po,Phone,Deposits,Inquiry,New,Low,2024-01-26T08:52:00+08:00,2024-01-26T08:53:00+08:00,Low,12ab8793-cd70-49d0-a64b-6ccee12e8fd0,16E2FDB6-9B2D-4CB8-A22C-80448BCFA5E9,00:00:2.305,banking,8000,16,customer,True,31,Female,Philippines,National Capital Region (Metro Manila),Audio/12ab8793-cd70-49d0-a64b-6ccee12e8fd0.wav,sliced_audio/banking_339605.wav
